feature,sel_freq,mean_abs_coef,coef_at_Cstar,is_flag,cohens_d,t_p_fdr,mw_p_fdr,univariate_rank
S454,0.005,1.6860559943575484e-06,0.0,False,-0.13600480399063017,0.37055275261579484,0.9621108787713828,138.0
S001,0.0,0.0,0.0,False,-0.0023133294860905097,0.9950236145987875,0.9953315404098076,430.0
S002,0.0,0.0,0.0,False,0.048177020569082095,0.901571029180575,0.9621108787713828,318.3333333333333
S003,0.0,0.0,0.0,False,-0.008490787072622137,0.9784655966116022,0.9621108787713828,416.6666666666667
S004,0.0,0.0,0.0,False,-0.033168447836314445,0.9179959505019263,0.9621108787713828,351.0
S006,0.0,0.0,0.0,False,0.017821867498689845,0.9692496673478536,0.9184103947999951,391.3333333333333
S007,0.0,0.0,0.0,False,-0.17404329230847745,0.41418384920699486,0.545881160646354,118.0
S008,0.0,0.0,0.0,False,0.031184294251910685,0.9362523713318748,0.9621108787713828,354.3333333333333
S012,0.0,0.0,0.0,False,-0.012782487325564813,0.9752309678645957,0.99571977584834,407.0
S015,0.0,0.0,0.0,False,0.11350492764812818,0.6674120585158414,0.6923583056385537,188.0
S017,0.0,0.0,0.0,False,-0.17801912553096716,0.4240516755631772,0.34269368649991283,113.33333333333333
S018,0.0,0.0,0.0,False,-0.04821601261125401,0.9024852209886927,0.9621108787713828,318.6666666666667
S020,0.0,0.0,0.0,False,0.010361171896863312,0.9760166047457159,0.991899562474813,412.6666666666667
S023,0.0,0.0,0.0,False,0.10244669872139159,0.7174293155084572,0.6681178499077132,217.66666666666666
S024,0.0,0.0,0.0,False,-0.10641042107527585,0.6536616820557524,0.8965693580809547,197.33333333333334
S025,0.0,0.0,0.0,False,-0.1489515578145015,0.7174293155084572,0.9621108787713828,163.33333333333334
S026,0.0,0.0,0.0,False,-0.36176358850096046,0.34902770726101595,0.9789197576793564,52.666666666666664
S027,0.0,0.0,0.0,False,-0.12797438843069747,0.7174293155084572,0.9621108787713828,191.66666666666666
S029,0.0,0.0,0.0,False,0.09294962577341154,0.7174293155084572,0.9378974901580177,232.66666666666666
S030,0.0,0.0,0.0,False,0.19041489506280967,0.3320419115319094,0.37452497295767595,96.66666666666667
S034,0.0,0.0,0.0,False,0.013693945831535742,0.9752309678645957,0.5456102628870406,405.3333333333333
S035,0.0,0.0,0.0,False,-0.02782314266674734,0.9507265402960062,0.3636417756447757,362.0
S037,0.0,0.0,0.0,False,0.16177196676776212,0.4240516755631772,0.3521499186164464,129.0
S038,0.0,0.0,0.0,False,0.2280570218960363,0.5063031660836392,0.545881160646354,98.0
S039,0.0,0.0,0.0,False,0.02852075083856925,0.9507265402960062,0.9621108787713828,361.0
S043,0.0,0.0,0.0,False,0.11491757796763431,0.6926803342833834,0.6500854486923523,190.33333333333334
S044,0.0,0.0,0.0,False,-0.17319405341736566,0.3854201783609958,0.1879855575112828,114.0
